,K,pc,s,mu,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,difference
0,0.0,0.02275,0.0,-2.0,0.0,0.022244,0.022244,0.955512,1.0,1.0,1.02275,0.0,30,0.0
1,0.0,0.02275,0.0,-2.0,0.33,0.022166,0.022166,0.955667,0.992685,0.992685,1.022584,0.0,30,0.0
2,0.0,0.02275,0.0,-2.0,0.66,0.022089,0.022089,0.955822,0.985421,0.985421,1.022418,0.0,30,0.0
3,0.0,0.02275,0.0,-2.0,1.0,0.02201,0.02201,0.95598,0.97799,0.97799,1.022249,0.0,30,0.0
4,0.0,0.308538,0.0,-0.5,0.0,0.235788,0.235788,0.528424,1.0,1.0,1.308538,0.0,30,0.0
5,0.0,0.308538,0.0,-0.5,0.33,0.230953,0.230953,0.538094,0.923785,0.923785,1.285022,0.0,30,0.0
6,0.0,0.308538,0.0,-0.5,0.66,0.22615,0.22615,0.547699,0.850741,0.850741,1.262485,0.0,30,0.0
7,0.0,0.308538,0.0,-0.5,1.0,0.221246,0.221246,0.557507,0.778754,0.778754,1.240275,0.0,30,0.0
8,0.0,0.5,0.0,0.0,0.0,0.333333,0.333333,0.333333,1.0,1.0,1.5,0.0,30,0.0
9,0.0,0.5,0.0,0.0,0.33,0.327112,0.327112,0.345775,0.892053,0.892053,1.446026,0.0,30,0.0
10,0.0,0.5,0.0,0.0,0.66,0.320682,0.320682,0.358635,0.78835,0.78835,1.394175,0.0,30,0.0
11,0.0,0.5,0.0,0.0,1.0,0.313859,0.313859,0.372281,0.686141,0.686141,1.34307,0.0,30,0.0
12,0.0,0.691462,0.0,0.5,0.0,0.408796,0.408796,0.182409,1.0,1.0,1.691462,0.0,30,0.0
13,0.0,0.691462,0.0,0.5,0.33,0.403545,0.403545,0.192911,0.86683,0.86683,1.599381,0.0,30,0.0
14,0.0,0.691462,0.0,0.5,0.66,0.397829,0.397829,0.204342,0.737433,0.737433,1.509907,0.0,30,0.0
15,0.0,0.691462,0.0,0.5,1.0,0.391422,0.391422,0.217156,0.608578,0.608578,1.420809,0.0,30,0.0
16,0.0,0.97725,0.0,2.0,0.0,0.494247,0.494247,0.011506,1.0,1.0,1.97725,0.0,30,0.0
17,0.0,0.97725,0.0,2.0,0.33,0.493743,0.493743,0.012514,0.837065,0.837065,1.818021,0.0,30,0.0
18,0.0,0.97725,0.0,2.0,0.66,0.493144,0.493144,0.013712,0.674525,0.674525,1.659179,0.0,30,0.0
19,0.0,0.97725,0.0,2.0,1.0,0.492397,0.492397,0.015207,0.507603,0.507603,1.496055,0.0,30,0.0
20,0.060598,0.00621,0.5,-2.0,0.0,0.062624,0.062624,0.874753,1.0,1.0,1.066807,0.0,30,0.0
21,0.060598,0.00621,0.5,-2.0,0.33,0.062062,0.062062,0.875876,0.97952,0.97952,1.065439,0.0,30,0.0
22,0.060598,0.00621,0.5,-2.0,0.66,0.061509,0.061509,0.876983,0.959404,0.959404,1.064095,0.0,30,0.0
23,0.060598,0.00621,0.5,-2.0,1.0,0.060948,0.060948,0.878105,0.939052,0.939052,1.062735,0.0,30,0.0
24,0.060598,0.933193,0.5,2.0,0.0,0.498443,0.498443,0.003115,1.0,1.0,1.99379,0.0,30,0.0
25,0.060598,0.933193,0.5,2.0,0.33,0.498304,0.498304,0.003393,0.83556,0.83556,1.830371,0.0,30,0.0
26,0.060598,0.933193,0.5,2.0,0.66,0.498138,0.498138,0.003725,0.671229,0.671229,1.667061,0.0,30,0.0
27,0.060598,0.933193,0.5,2.0,1.0,0.497929,0.497929,0.004143,0.502071,0.502071,1.498954,0.0,30,0.0
28,0.157305,0.00135,1.0,-2.0,0.0,0.136931,0.136931,0.726139,1.0,1.0,1.158655,0.0,30,0.0
29,0.157305,0.00135,1.0,-2.0,0.33,0.134707,0.134707,0.730586,0.955547,0.955547,1.151603,0.0,30,0.0
30,0.157305,0.00135,1.0,-2.0,0.66,0.132529,0.132529,0.734942,0.912531,0.912531,1.144778,0.0,30,0.0
31,0.157305,0.00135,1.0,-2.0,1.0,0.130333,0.130333,0.739334,0.869667,0.869667,1.137977,0.0,30,0.0
32,0.157305,0.841345,1.0,2.0,0.0,0.499662,0.499662,0.000675,1.0,1.0,1.99865,0.0,30,0.0
33,0.157305,0.841345,1.0,2.0,0.33,0.499632,0.499632,0.000736,0.835121,0.835121,1.833994,0.0,30,0.0
34,0.157305,0.841345,1.0,2.0,0.66,0.499596,0.499596,0.000809,0.670267,0.670267,1.669362,0.0,30,0.0
35,0.157305,0.841345,1.0,2.0,1.0,0.49955,0.49955,0.0009,0.50045,0.50045,1.499774,0.0,30,0.0
36,0.341345,0.158655,0.5,-0.5,0.0,0.333333,0.333333,0.333333,1.0,1.0,1.5,0.0,30,0.0
37,0.341345,0.158655,0.5,-0.5,0.33,0.327112,0.327112,0.345775,0.892053,0.892053,1.446026,0.0,30,0.0
38,0.341345,0.158655,0.5,-0.5,0.66,0.320682,0.320682,0.358635,0.78835,0.78835,1.394175,0.0,30,0.0
39,0.341345,0.158655,0.5,-0.5,1.0,0.313859,0.313859,0.372281,0.686141,0.686141,1.34307,0.0,30,0.0
40,0.341345,0.5,0.5,0.5,0.0,0.456919,0.456919,0.086163,1.0,1.0,1.841345,0.0,30,0.0
41,0.341345,0.5,0.5,0.5,0.33,0.453755,0.453755,0.092491,0.850261,0.850261,1.715363,0.0,30,0.0
42,0.341345,0.5,0.5,0.5,0.66,0.450152,0.450152,0.099697,0.7029,0.7029,1.591381,0.0,30,0.0
43,0.341345,0.5,0.5,0.5,1.0,0.445896,0.445896,0.108209,0.554104,0.554104,1.466193,0.0,30,0.0
44,0.382925,0.308538,0.5,0.0,0.0,0.408796,0.408796,0.182409,1.0,1.0,1.691462,0.0,30,0.0
45,0.382925,0.308538,0.5,0.0,0.33,0.403545,0.403545,0.192911,0.86683,0.86683,1.599381,0.0,30,0.0
46,0.382925,0.308538,0.5,0.0,0.66,0.397829,0.397829,0.204342,0.737433,0.737433,1.509907,0.0,30,0.0
47,0.382925,0.308538,0.5,0.0,1.0,0.391422,0.391422,0.217156,0.608578,0.608578,1.420809,0.0,30,0.0
48,0.624655,0.066807,1.0,-0.5,0.0,0.408796,0.408796,0.182409,1.0,1.0,1.691462,0.0,30,0.0
49,0.624655,0.066807,1.0,-0.5,0.33,0.403545,0.403545,0.192911,0.86683,0.86683,1.599381,0.0,30,0.0
50,0.624655,0.066807,1.0,-0.5,0.66,0.397829,0.397829,0.204342,0.737433,0.737433,1.509907,0.0,30,0.0
51,0.624655,0.066807,1.0,-0.5,1.0,0.391422,0.391422,0.217156,0.608578,0.608578,1.420809,0.0,30,0.0
52,0.624655,0.308538,1.0,0.5,0.0,0.482721,0.482721,0.034558,1.0,1.0,1.933193,0.0,30,0.0
53,0.624655,0.308538,1.0,0.5,0.33,0.481286,0.481286,0.037427,0.841176,0.841176,1.784979,0.0,30,0.0
54,0.624655,0.308538,1.0,0.5,0.66,0.479605,0.479605,0.040791,0.683461,0.683461,1.637801,0.0,30,0.0
55,0.624655,0.308538,1.0,0.5,1.0,0.477545,0.477545,0.044911,0.522455,0.522455,1.487552,0.0,30,0.0
56,0.682689,0.158655,1.0,0.0,0.0,0.456919,0.456919,0.086163,1.0,1.0,1.841345,0.0,30,0.0
57,0.682689,0.158655,1.0,0.0,0.33,0.453755,0.453755,0.092491,0.850261,0.850261,1.715363,0.0,30,0.0
58,0.682689,0.158655,1.0,0.0,0.66,0.450152,0.450152,0.099697,0.7029,0.7029,1.591381,0.0,30,0.0
59,0.682689,0.158655,1.0,0.0,1.0,0.445896,0.445896,0.108209,0.554104,0.554104,1.466193,0.0,30,0.0
60,0.841344,0.0,3.0,-2.0,0.33,0.453755,0.453755,0.092491,0.850261,0.850261,1.715363,0.0,30,0.0
61,0.841344,0.0,3.0,-2.0,0.66,0.450152,0.450152,0.099697,0.7029,0.7029,1.591381,0.0,30,0.0
62,0.841344,0.0,3.0,-2.0,1.0,0.445896,0.445896,0.108209,0.554104,0.554104,1.466193,0.0,30,0.0
63,0.841344,0.158655,3.0,2.0,0.0,0.5,0.5,0.0,1.0,1.0,2.0,0.0,30,0.0
64,0.841344,0.158655,3.0,2.0,0.33,0.5,0.5,0.0,0.835,0.835,1.835,0.0,30,0.0
65,0.841344,0.158655,3.0,2.0,0.66,0.5,0.5,0.0,0.67,0.67,1.67,0.0,30,0.0
66,0.841344,0.158655,3.0,2.0,1.0,0.5,0.5,0.0,0.5,0.5,1.5,0.0,30,0.0
67,0.993558,0.000233,3.0,-0.5,0.0,0.498443,0.498443,0.003115,1.0,1.0,1.99379,0.0,30,0.0
68,0.993558,0.000233,3.0,-0.5,0.33,0.498304,0.498304,0.003393,0.83556,0.83556,1.830371,0.0,30,0.0
69,0.993558,0.000233,3.0,-0.5,0.66,0.498138,0.498138,0.003725,0.671229,0.671229,1.667061,0.0,30,0.0
70,0.993558,0.000233,3.0,-0.5,1.0,0.497929,0.497929,0.004143,0.502071,0.502071,1.498954,0.0,30,0.0
71,0.993558,0.00621,3.0,0.5,0.0,0.499942,0.499942,0.000116,1.0,1.0,1.999767,0.0,30,0.0
72,0.993558,0.00621,3.0,0.5,0.33,0.499937,0.499937,0.000127,0.835021,0.835021,1.834827,0.0,30,0.0
73,0.993558,0.00621,3.0,0.5,0.66,0.49993,0.49993,0.000139,0.670046,0.670046,1.66989,0.0,30,0.0
74,0.993558,0.00621,3.0,0.5,1.0,0.499922,0.499922,0.000155,0.500078,0.500078,1.499961,0.0,30,0.0
75,0.9973,0.00135,3.0,0.0,0.0,0.499662,0.499662,0.000675,1.0,1.0,1.99865,0.0,30,0.0
76,0.9973,0.00135,3.0,0.0,0.33,0.499632,0.499632,0.000736,0.835121,0.835121,1.833994,0.0,30,0.0
77,0.9973,0.00135,3.0,0.0,0.66,0.499596,0.499596,0.000809,0.670267,0.670267,1.669362,0.0,30,0.0
78,0.9973,0.00135,3.0,0.0,1.0,0.49955,0.49955,0.0009,0.50045,0.50045,1.499774,0.0,30,0.0
