,mu,K,pc,s,beta,u1init,u2init,buinit,r1init,r2init,u1eq,u2eq,bueq,r1eq,r2eq,Weq,time,reached_eq,URstable
0,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
1,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
2,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
3,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
4,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
5,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
6,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
7,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.85,0.9,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
8,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.2,0.89,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
9,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.9,0.2,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
10,-2.0,0.0,0.02275013194817921,0.0,0.0,0.08,0.9,0.020000000000000014,0.05,0.1,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
11,-2.0,0.0,0.02275013194817921,0.0,0.0,0.08,0.9,0.020000000000000014,0.5,0.3,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
12,-2.0,0.0,0.02275013194817921,0.0,0.0,0.08,0.9,0.020000000000000014,0.85,0.9,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
13,-2.0,0.0,0.02275013194817921,0.0,0.0,0.08,0.9,0.020000000000000014,0.2,0.89,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
14,-2.0,0.0,0.02275013194817921,0.0,0.0,0.08,0.9,0.020000000000000014,0.9,0.2,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
15,-2.0,0.0,0.02275013194817921,0.0,0.0,0.1,0.05,0.85,0.1,0.05,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
16,-2.0,0.0,0.02275013194817921,0.0,0.0,0.1,0.05,0.85,0.3,0.5,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
17,-2.0,0.0,0.02275013194817921,0.0,0.0,0.1,0.05,0.85,0.9,0.85,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
18,-2.0,0.0,0.02275013194817921,0.0,0.0,0.1,0.05,0.85,0.89,0.2,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
19,-2.0,0.0,0.02275013194817921,0.0,0.0,0.1,0.05,0.85,0.2,0.9,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
20,-2.0,0.0,0.02275013194817921,0.0,0.0,0.4,0.48,0.12,0.1,0.05,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
21,-2.0,0.0,0.02275013194817921,0.0,0.0,0.4,0.48,0.12,0.3,0.5,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
22,-2.0,0.0,0.02275013194817921,0.0,0.0,0.4,0.48,0.12,0.9,0.85,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
23,-2.0,0.0,0.02275013194817921,0.0,0.0,0.4,0.48,0.12,0.89,0.2,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
24,-2.0,0.0,0.02275013194817921,0.0,0.0,0.4,0.48,0.12,0.2,0.9,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
25,-2.0,0.0,0.02275013194817921,0.0,0.0,0.9,0.08,0.020000000000000014,0.1,0.05,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
26,-2.0,0.0,0.02275013194817921,0.0,0.0,0.9,0.08,0.020000000000000014,0.3,0.5,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
27,-2.0,0.0,0.02275013194817921,0.0,0.0,0.9,0.08,0.020000000000000014,0.9,0.85,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
28,-2.0,0.0,0.02275013194817921,0.0,0.0,0.9,0.08,0.020000000000000014,0.89,0.2,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
29,-2.0,0.0,0.02275013194817921,0.0,0.0,0.9,0.08,0.020000000000000014,0.2,0.9,0.022244076277794032,0.022244076277794032,0.955511847444412,1.0,1.0,1.022750131948179,500000,True,0.0
30,-2.0,0.060597535943081926,0.006209665325776159,0.5,0.0,0.05,0.1,0.85,0.05,0.1,0.06262350046887355,0.06262350046887369,0.8747529990622528,1.0,1.0,1.0668072012688579,500000,True,0.0
